xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
0.22458,0.01936,0.16584,0.07350,0.08715,0.01179,0.04746,0.00610,0.00990,0.00361,0.00258,0.00030,0.82822,0.00291,8,0
0.95929,0.52975,0.28464,0.53149,0.00453,0.00663,0.00003,0.00380,0.00207,0.00049,0.01237,0.00284,0.00311,0.96413,9,9
0.42034,0.45322,0.74429,0.13881,0.00254,0.00133,0.02995,0.74712,0.00916,0.17986,0.01302,0.00913,0.00569,0.00220,3,2
0.58556,0.48072,0.98093,0.09649,0.00198,0.00003,0.00121,0.98577,0.00131,0.00477,0.00211,0.00095,0.00063,0.00124,3,3
0.26181,0.33419,0.39858,0.25583,0.00980,0.00148,0.96155,0.00813,0.00456,0.00380,0.00618,0.00296,0.00152,0.00002,2,2
0.55070,0.28756,0.61003,0.83852,0.00067,0.00159,0.00688,0.02396,0.00385,0.00259,0.95530,0.00048,0.00103,0.00365,6,6
0.24087,0.32350,0.28297,0.27757,0.00370,0.00140,0.98535,0.00122,0.00183,0.00190,0.00256,0.00124,0.00081,0.00000,2,8
0.24512,0.32947,0.28236,0.27509,0.00344,0.00151,0.98467,0.00130,0.00194,0.00230,0.00259,0.00150,0.00077,0.00000,2,2
0.10302,0.61868,0.04871,0.16327,0.00605,0.00079,0.00827,0.00640,0.36440,0.01181,0.00146,0.59023,0.00044,0.01015,7,7
0.49632,0.48477,0.89400,0.07979,0.00113,0.00012,0.00285,0.94787,0.00274,0.03657,0.00332,0.00173,0.00204,0.00162,3,2
0.55400,0.36934,0.56869,0.38533,0.03555,0.01151,0.00283,0.35216,0.01718,0.01595,0.09173,0.02329,0.01544,0.43435,9,1
0.99173,0.55110,0.22629,0.42272,0.00296,0.00317,0.00000,0.00126,0.00077,0.00017,0.00153,0.00188,0.00163,0.98664,9,9
0.19717,0.34290,0.19387,0.26696,0.02157,0.00182,0.86178,0.00725,0.07384,0.00587,0.01282,0.00613,0.00878,0.00014,2,4
0.01408,0.38626,0.00646,0.24327,0.00047,0.00001,0.00170,0.00139,0.98823,0.00177,0.00138,0.00204,0.00204,0.00096,4,4
0.25648,0.01428,0.11809,0.07381,0.00804,0.00475,0.00765,0.00185,0.00582,0.00441,0.00109,0.00005,0.96459,0.00176,8,8
